Polylines2D,Position X,Position Y
1,-729.818058258152,130.225047361664
2,-774.021022903714,130.225047361664
3,-776.308058258149,132.512082716101
4,-776.308058258148,171.309467154326
5,-768.618058258149,242.940047361664
6,-766.01805825815,242.940047361664
7,-765.71805825815,242.640047361664
8,-765.71805825815,240.740047361663
9,-766.01805825815,240.440047361663
10,-768.618058258149,240.440047361663
11,-768.918058258149,240.740047361663
12,-768.918058258149,242.640047361664
13,-764.368058258149,242.940047361664
14,-761.76805825815,242.940047361664
15,-761.46805825815,242.640047361664
16,-761.46805825815,240.740047361663
17,-761.76805825815,240.440047361663
18,-764.368058258149,240.440047361663
19,-764.668058258149,240.740047361663
20,-764.668058258149,242.640047361664
21,-760.118058258149,242.940047361664
22,-757.51805825815,242.940047361664
23,-757.21805825815,242.640047361664
24,-757.21805825815,240.740047361663
25,-757.51805825815,240.440047361663
26,-760.118058258149,240.440047361663
27,-760.418058258149,240.740047361663
28,-760.418058258149,242.640047361664
29,-755.868058258149,242.940047361664
30,-753.26805825815,242.940047361664
31,-752.96805825815,242.640047361664
32,-752.96805825815,240.740047361663
33,-753.26805825815,240.440047361663
34,-755.868058258149,240.440047361663
35,-756.168058258149,240.740047361663
36,-756.168058258149,242.640047361664
37,-751.618058258149,242.940047361664
38,-749.01805825815,242.940047361664
39,-748.71805825815,242.640047361664
40,-748.71805825815,240.740047361663
41,-749.01805825815,240.440047361663
42,-751.618058258149,240.440047361663
43,-751.918058258149,240.740047361663
44,-751.918058258149,242.640047361664
45,-747.368058258149,242.940047361664
46,-744.76805825815,242.940047361664
47,-744.46805825815,242.640047361664
48,-744.46805825815,240.740047361663
49,-744.76805825815,240.440047361663
50,-747.368058258149,240.440047361663
51,-747.668058258149,240.740047361663
52,-747.668058258149,242.640047361664
53,-743.118058258149,242.940047361664
54,-740.51805825815,242.940047361664
55,-740.21805825815,242.640047361664
56,-740.21805825815,240.740047361663
57,-740.51805825815,240.440047361663
58,-743.118058258149,240.440047361663
59,-743.418058258149,240.740047361663
60,-743.418058258149,242.640047361664
61,-738.868058258149,242.940047361664
62,-736.26805825815,242.940047361664
63,-735.96805825815,242.640047361664
64,-735.96805825815,240.740047361663
65,-736.26805825815,240.440047361663
66,-738.868058258149,240.440047361663
67,-739.168058258149,240.740047361663
68,-739.168058258149,242.640047361664
69,-734.618058258149,242.940047361664
70,-732.01805825815,242.940047361664
71,-731.71805825815,242.640047361664
72,-731.71805825815,240.740047361663
73,-732.01805825815,240.440047361663
74,-734.618058258149,240.440047361663
75,-734.918058258149,240.740047361663
76,-734.918058258149,242.640047361664
77,-730.368058258149,242.940047361664
78,-727.76805825815,242.940047361664
79,-727.46805825815,242.640047361664
80,-727.46805825815,240.740047361663
81,-727.76805825815,240.440047361663
82,-730.368058258149,240.440047361663
83,-730.668058258149,240.740047361663
84,-730.668058258149,242.640047361664
85,-726.118058258149,242.940047361664
86,-723.51805825815,242.940047361664
87,-723.21805825815,242.640047361664
88,-723.21805825815,240.740047361663
89,-723.51805825815,240.440047361663
90,-726.118058258149,240.440047361663
91,-726.418058258149,240.740047361663
92,-726.418058258149,242.640047361664
93,-721.868058258149,242.940047361664
94,-719.26805825815,242.940047361664
95,-718.96805825815,242.640047361664
96,-718.96805825815,240.740047361663
97,-719.26805825815,240.440047361663
98,-721.868058258149,240.440047361663
99,-722.168058258149,240.740047361663
100,-722.168058258149,242.640047361664
101,-717.618058258149,242.940047361664
102,-715.01805825815,242.940047361664
103,-714.71805825815,242.640047361664
104,-714.71805825815,240.740047361663
105,-715.01805825815,240.440047361663
106,-717.618058258149,240.440047361663
107,-717.918058258149,240.740047361663
108,-717.918058258149,242.640047361664
109,-713.368058258149,242.940047361664
110,-710.76805825815,242.940047361664
111,-710.46805825815,242.640047361664
112,-710.46805825815,240.740047361663
113,-710.76805825815,240.440047361663
114,-713.368058258149,240.440047361663
115,-713.668058258149,240.740047361663
116,-713.668058258149,242.640047361664
117,-709.118058258149,242.940047361664
118,-706.51805825815,242.940047361664
119,-706.21805825815,242.640047361664
120,-706.21805825815,240.740047361663
121,-706.51805825815,240.440047361663
122,-709.118058258149,240.440047361663
123,-709.418058258149,240.740047361663
124,-709.418058258149,242.640047361664
125,-704.868058258149,242.940047361664
126,-702.26805825815,242.940047361664
127,-701.96805825815,242.640047361664
128,-701.96805825815,240.740047361663
129,-702.26805825815,240.440047361663
130,-704.868058258149,240.440047361663
131,-705.168058258149,240.740047361663
132,-705.168058258149,242.640047361664
133,-700.618058258149,242.940047361664
134,-698.01805825815,242.940047361664
135,-697.71805825815,242.640047361664
136,-697.71805825815,240.740047361663
137,-698.01805825815,240.440047361663
